url,product_title,product_details,product_specs,product_price
https://www.target.com/p/apple-iphone-14/-/A-87577447,Apple iPhone 14,"Highlights
6.1-inch Super Retina XDR display¹
All-day battery life and up to 20 hours of video playback²
Industry-leading durability features with Ceramic Shield and water resistance³
A15 Bionic chip with 5-core GPU for lightning-fast performance. Superfast 5G cellular⁴
Advanced camera system for better photos in any light
Action mode for smooth, steady, handheld videos
Cinematic mode now in 4K Dolby Vision up to 30 fps
Vital safety features—Emergency SOS via satellite⁵ and Crash Detection⁶
IOS 16 offers even more ways to personalize, communicate, and share⁷
Description
iPhone 14. With the most impressive dual-camera system on iPhone. Capture stunning photos in low light and bright light. Get peace of mind with groundbreaking safety features.

Legal
¹The display has rounded corners. When measured as a standard rectangular shape, the screen is 6.06 inches diagonally. Actual viewable area is less.
²Battery life varies by use and configuration; see apple.com/batteries for more information.
³iPhone 14 is splash, water, and dust resistant and was tested under controlled laboratory conditions with a rating of IP68 under IEC standard 60529 (maximum depth of 6 meters up to 30 minutes). Splash, water, and dust resistance are not permanent conditions. Resistance might decrease as a result of normal wear. Do not attempt to charge a wet iPhone; refer to the user guide for cleaning and drying instructions. Liquid damage not covered under warranty.
⁴Data plan required. 5G is available in select markets and through select carriers. Speeds vary based on site conditions and carrier. For details on 5G support, contact your carrier and see apple.com/iphone/cellular.
⁵Service is included for free for two years with the activation of any iPhone 14 model. Connection and response times vary based on location, site conditions, and other factors. See apple.com/iphone-14 or apple.com/iphone-14-pro for more information.
⁶iPhone 14 can detect a severe car crash and call for help. Requires a cellular connection or Wi-Fi Calling.
⁷Some features may not be available for all countries or all areas.

Technical specifications
Go to apple.com/iphone/compare for a complete set.
Show more",,Price Varies
https://www.target.com/p/samsung-galaxy-s22-ultra-5g-unlocked-128gb-smartphone-burgundy/-/A-85287714,Samsung Galaxy S22 Ultra 5G Unlocked (128GB) Smartphone - Burgundy,"Highlights
8K video - the highest resolution available on a smartphone
Capture premium detail with 50MP photo resolution
Epic smoothness, no tripod required
Low Light Video and Photography
All-day battery, no interruptions
Stream, share and watch all at once
Super-fast charging capabilities
Clear pics and vids at night. Brilliant.
Description
8K video

Capture more detail with 8K video – the highest recording resolution available on a smartphone. It’s not just another outing with friends, park days in the sun or a weekly livestream. It’s recorded as an ultra-bright and razor-sharp memory – including details that make it amazing

Super-steady Video

Video you capture is effortlessly smooth, thanks to Auto Focus Video Stabilization. Now, your nature shots, dance videos and laughable moments will be clear, steady and unforgettable. 1

Nightography

Some of the best times happen when the sun’s down. Nightography lets you snap or record every single moment clearly — anytime, anywhere, regardless of light. Night Mode has you covered.

Portrait Mode

Skip the glamour shots. With Portrait Mode, your favorite faces (even your pet’s) never looked better. Keep your subject in the spotlight with up to 3x the optical zoom, enhanced image processing and intuitive features. So when the light hits just right, you can start a pro photoshoot on the spot, no matter the distance between you and your subject.

108MP photo resolution

Bring out the detail of every hiking backdrop, sweeping cityscape or group photo with premium detail. Ultraclear 108MP is the highest resolution available on a mobile phone, turning your pics into unforgettable moments.

Bright Display with Vision Booster

Take your must-see content to the next level with a bright display. Whether you’re editing video, staging a shot or simply streaming your favorite show, Galaxy S22 will make it all pop. No matter what’s on screen, every pixel will be silky smooth with an adaptive display that automatically adjusts up to 120Hz — even at max resolution. And it will all be easy on the eyes, thanks to intelligent blue light management.

Adaptive Color Contrast

Streaming on the go, working from your patio or binge-watching late into the night? An adaptive screen on Galaxy S22 automatically optimizes color and brightness, indoors and outdoors. No matter what route your day takes, it’s always a scenic one.

Long lasting battery

Your answer to the dreaded low battery. Galaxy S22 Ultra and Galaxy S22+ intuitively manage your usage to conserve energy on their own so you can go all day and into the next. Share when you want to, stream when you want to and never miss a moment. 2

45W Super-Fast Charging

Life is happening right now, so don’t let a low battery get in your way. With 45W Super-Fast Charging, you’ll quickly get charged up so you can dive back into action. 3

Embedded S Pen

The iconic S Pen is now embedded with Galaxy S22 Ultra. Unleash your creativity and productivity with S Series. Sketch and bring your ideas to life. Edit photos and videos with pinpoint accuracy. And do it all with that pen-to-paper feel.

Premium design and craftsmanship

High design for everyday life — that’s Galaxy S22 Series. With a classy, eye-catching glass-metal-glass design, we’re setting a standard for smartphones. Strut your style in chic, sophisticated colors like Burgundy, Phantom Black, Pink Gold, Green or Phantom White. With our strongest aluminum frame and the latest Gorilla Glass, this smartphone is lightweight and durable to help endure scratches and dings.

Live Sharing With Google Duo (Co-Watching)

“You’ve gotta see this!” Everything’s better together. Share thrills, smiles and all-out belly laughs with friends when you co-watch YouTube from anywhere. Viral video group-watch parties are always better when they’re enjoyed with your faves. 4

1 Supports Full HD video with up to 60 fps.

2 Based on average battery life under typical usage conditions. Average expected performance based on typical use. Actual battery life depends on factors such as network, features selected, frequency of calls, and voice, data, and other application usage patterns.

3 Wall charger sold separately; use only Samsung approved chargers and cables. To avoid injury or damage to your device, do not use incompatible, worn or damaged batteries, chargers or cables. Supports 45W charging.

4 Requires all participants have Galaxy S22 Series devices with Android 12 OS.

Show more","Dimensions (Overall): 6.43 Inches (H) x 3.06 Inches (W) x .35 Inches (D)
Weight: 8.09 Ounces
Product Model: Samsung Galaxy S22 Ultra
Camera Features: HDR Imaging, Digital Image Stabilization, Geotagging, Telephoto Lens, Face Detection Technology, Panorama Mode, Slow Motion Recording, Front and Rear Facing Cameras, Ultra Wide Angle Lens, Wide Angle Lens, Image Optimization Functions, Automatic Flash, Motion Detection, Optical Image Stabilization, Automatic Focus
Electronics Condition: New
Electronics Features: Built-In GPS, Mobile Hotspot, Fingerprint Reader, Always-On Display, Quick Charge, Picture-In-Picture, AMOLED Display, Orientation Sensor, Pressure-Sensitive Touchscreen, Automatic Focus, Bezel-Less, Wireless Charging, Face Detection Technology, Haptic Feedback, eSIM Supported
Connection Type: USB-C
Megapixels: 108 MP
Operating System: Android
Data Storage Capacity: 128GB
Required, Not Included: Service Plan
Screen Resolution: 1440 x 3080
Wireless Frequency/Band: 5G
Video Recording Resolution: 8K
Wireless Technology: Wi-Fi 6 (IEEE 802.11ax), 5G, 4G LTE","$1,199.99 "
https://www.target.com/p/hp-deskjet-2755e-wireless-all-in-one-color-printer-scanner-copier-with-instant-ink-and-hp-26k67/-/A-82254388,"HP DeskJet 2755e Wireless All-In-One Color Printer, Scanner, Copier with Instant Ink and HP+ (26K67)","Highlights
Best for home printing
All-in-one print, scan and copy
3 free months of Instant Ink included with HP+ (See offer redemption details below)
Print, scan and copy on the go with HP Smart app
Dual-band Wi-Fi with self-reset
Easy mobile setup
Print up to 7.5 pages per minute black, 5.5 pages per minute color
Hi-Speed USB 2.0
Description
The HP DeskJet 2755e has the essential features you need to print basic color documents like recipes and forms. Print, copy and scan with ease, print from your phone and get easy setup. Includes the optional HP+ Smart Printing System that keeps itself up to date and ready to print from virtually anywhere at any time—at no additional cost. This offer is fulfilled by HP during printer setup.

PERFECT FOR HOME: Best for printing basic color documents like recipes, forms and travel documents. Print speeds of up to 7.5 pages per minute in black or 5.5 pages per minute in color.

KEY FEATURES: Print, copy and scan in color, plus mobile and wireless printing

INCLUDES FREE HP+ SMART FEATURES: Upgrade free to HP+ during setup to get advanced features for mobile printing, security, automatic updates and more. HP+ only works with an HP account, internet connection and Original HP Ink for the life of the printer.

CONNECTIVITY: Dual-band Wi-Fi® with self-reset automatically detects and resolves connectivity issues. Also includes USB 2.0 port.

HP SMART APP: Simple setup that guides you through each step, using HP Smart app. Print, scan and copy everyday documents from your phone—from anywhere. Get advanced features with HP+ in the Smart app including mobile fax and advanced scanning features such as multi-item recognition.

3 MONTHS OF INSTANT INK INCLUDED WITH HP+: Print up to 700 pages a month and get ink delivered only when you need it. After 3 months, monthly fee applies unless cancelled, and you'll save up to 50% on ink.
Show more","Dimensions (Overall): 6.06 Inches (H) x 16.7 Inches (W) x 11.97 Inches (D)
Weight: 7.55 Pounds
Compatible Ink Cartridges: HP 67 series
B&W Print Speed: 7.5 Pages per Minute
Color Print Speed: 5.5 Pages per Minute
Electronics Condition: New
Electronics Features: E-Mail Capabilities, Print From Mobile Device, Controlled by Smartphone App, Thermal Inkjet Technology, Automatic Shut-Off, Scanner, Printer, Scan to Mobile Device, Copier, Flatbed Design
Connection Type: USB
Maximum capacity: 60 Sheets
Operating System Compatibility: Microsoft Windows, macOS
Maximum Resolution: 4800 x 1200 (Color), 1200 x 1200 (Black and White)",$49.99 
https://www.target.com/p/jbl-charge-5-portable-bluetooth-waterproof-speaker-red-target-certified-refurbished/-/A-88249290,JBL Charge 5 Portable Bluetooth Waterproof Speaker - Target Certified Refurbished,"Highlights
Target Certified Refurbished speaker works and looks just like new and is backed by a 1 year mechanical warranty.
Rechargable battery with up to 20 hours of playtime
Waterproof and dustproof
Wirelessly connect up to 2 smartphones or tablets to the speaker
Wirelessly connect up to 2 speakers with PartyBoost
Built-in powerbank lets you charge your mobile devices
What's in the Box?
1 Target Certified Refurbished JBL Charge 5 Red Speaker in generic packaging (does not come in the original box)
1 USB-C charging cable
Description
Take the party with you no matter what the weather. This Target Certified Refurbished JBL Charge 5 Red speaker delivers rich and clear sound, with its optimized long excursion driver, separate tweeter and dual pumping JBL bass radiators. Rain? Spilled drinks? Beach sand? The waterproof and dustproof Charge 5 survives whatever comes its way.","Dimensions (Overall): 3.76 Inches (H) x 3.67 Inches (W) x 8.7 Inches (D)
Weight: 2.11 Pounds
Electronics Condition: Target Certified Refurbished
Estimated Charge Time: 4 Hours
Electronics Features: Bluetooth
Connection Type: USB-C
Wireless Technology: Bluetooth
Battery: 1 Non-Universal Lithium Ion, Required, Included",$107.99 
https://www.target.com/p/microsoft-365-personal-12-month-subscription-digital/-/A-78297146,Microsoft 365 Personal 12-Month Subscription (Digital),"Highlights
For one person
Use on Windows PCs, Macs, iPads, iPhones, Android tablets & phones
Premium Office apps including Word, Excel, PowerPoint, Outlook
1 TB of OneDrive cloud storage
Ad-free Outlook email & calendars
Advanced writing assistance with Microsoft Editor
Advanced file and email security
Description
One convenient subscription for 1 person. Microsoft 365 Personal comes equipped with premium Office apps, including Word, PowerPoint, Excel, Outlook and more. Receive 1 TB of OneDrive cloud storage for 1 person which allows you to access, edit, and share your files and photos across all your devices—all while knowing your information is always backed up and protected.


With a Microsoft 365 yearly subscription, it is easy to create, organize, and get things done faster and with more efficiency.
Bring out the very best in your performance with premium Office apps from Microsoft, including Word, Excel, and PowerPoint, be it on a Mac system or a Windows 10 PC.

- Accessibility, editing, and sharing of files and photos across devices is now easy with the 1 TB of OneDrive cloud storage available.
- Office 365 helps you keep it all organized together with Outlook, an email app with an ad-free experience, that has calendars, to-do lists and contacts, as well as security tools to keep your information protected.
- Advanced security features protect your files, like the built-in ransomware detection and recovery. You can also use the two-step identity verification for access to your most important files in the OneDrive Personal Vault.
- Enjoy a seamless experience with the flexibility to use multiple PCs, Macs, iPads, iPhones and Android phones.

Show more","Video Game Genre: Home/Office Software
Format: Download code in email
Operating System Compatibility: Microsoft Windows",$69.99 
https://www.target.com/p/turbotax-2023-deluxe-federal-and-state-tax-software/-/A-89741680,TurboTax 2023 Deluxe Federal and State Tax Software,"Highlights
TurboTax® Deluxe Federal + State helps to maximize 350+ deductions and credits.
5 Federal e-files are included.
1 State download included in this purchase.
State e-file is additional and sold separately.
Free U.S.-based product support via phone (hours may vary)
Accurately deduct mortgage interest and property taxes.
Guides you through the latest tax laws with ease.
Audit Risk Meter™ checks your return for audit triggers
Save time by uploading a picture or PDF of your W-2 to import your data securely into the right forms
Your downloaded software resides on your computer, so you can view and manage your tax data (Intuit Account required).
IMPORTANT: Installation Requirements: Product download, installation and activation requires an Intuit Account and internet connection. Product limited to one account per license code. You must accept the TurboTax License Agreement to use this product. Not for use by paid preparers.
Description
TurboTax® Deluxe + State coaches you every step of the way. It is tailored to your unique situation. It searches for hundreds of deductions and credits and handles even the toughest tax situations, so you can be confident you’re getting every dollar you deserve. Recommended if you own a home, have charitable donations, high medical expenses and need to file both Federal & State Tax Returns. Includes 5 Federal e-files and 1 State via download. State e-file sold seperately. Free U.S.-based product support (hours may vary). Get your taxes done right and your maximum refund. Maximizes 350+ deductions and credits. Easily imports W-2s, investment & mortgage information from participating companies (may require free Intuit account). Accurately track and value items you donate to charities with ItsDeductible™ (included). Before you file, TurboTax runs thousands of checks to help identify missing deductions or credits.
Show more","Video Game Genre: Tax Preparational Software
Format: CD
Operating System Compatibility: Microsoft Windows, macOS
TCIN: 89741680
UPC: 028287609044",$69.99 
https://www.target.com/p/hamilton-beach-4-slice-toaster-24782/-/A-87232566,Hamilton Beach 4 slice Toaster 24782,"Highlights
EVENLY TOASTS BOTH SIDES OF SINGLE SLICE: With the Sure-Toast™ One Slice toast feature on the 4 slice toaster, you get perfectly toasted bread, with balanced color and texture on both sides every time you toast. Just press the One Slice button.
EASILY RETRIEVE SMALLER BREADS: A convenient feature you won't find on all bread toasters, Auto Boost automatically lifts smaller breads like English muffins and gluten-free bread slices so they're easier to retrieve after toasting.
FOOD THAT LOOKS AS GOOD AS IT TASTES: Even toasting improves color and texture of toast, English muffin, and sandwiches made with toasted breads.
PERFECTLY TOASTS BAGELS: The bagel function toasts the cut side of the bagel and warms the outside for a great bagel-eating experience. You get crunchy, toasted bread on one side and warm, soft bread on the other.
GIVE FROZEN FOODS EXTRA TIME TO COOK: Use the defrost setting for optimal cook time and flavor when toasting frozen breads and waffles. Just press one button to defrosts and toast.
Description
The Hamilton Beach® Classic Stainless Steel 4 Slice Toaster does everything you'd expect a toaster to do, plus a lot more. The Sure-Toast™ One Slice feature is designed to evenly toast on both sides of a single slice. Just press the One Slice button. With Sure-Toast™, bread, waffles, English muffins, and sandwiches made from toasted breads will look as good as they taste. Whether you toast 1, 2, 3 or 4 slices, you always get balanced toast color and texture. Toasting smaller breads is no problem either. Auto Boost automatically lifts small breads like English muffins and gluten-free bread slices higher so they're easier to retrieve from the toaster. The bagel function perfectly toasts bagels — it toasts the cut side and gently warms the outside so your bagels are toasty on one side and soft on the other. The defrost setting ensures optimal cook time and great performance when toasting frozen breads and waffles. Wide toasting slots easily accommodate thicker breads like Texas toast and bagels. Stop the toast cycle at any time by simply pressing the Cancel button. The large pullout crumb tray is easy to access and clean, but out of sight. Choose from 9 toast shades.
Show more","Dimensions (Overall): 7.6 Inches (H) x 11 Inches (W) x 11 Inches (D)
Weight: 4.1 Pounds
Appliance Capabilities: Toasters
Number of Slices: 4
Wattage Output: 1560 Watts
Material: Metal
Care & Cleaning: Spot or Wipe Clean",$59.99 
https://www.target.com/p/razor-24v-mx350-dirt-rocket-electric-powered-ride-on-bike-blue/-/A-53550140,Razor 24V MX350 Dirt Rocket Electric Powered Ride-On Bike - Blue,"Highlights
Authentic motocross frame geometry, the MX350 scales down the dirt bike to size for riders ages 13+ and up to 140 lb (64 kg)
High-torque, rear-wheel chain-drive delivers increased power and traction
Powers riders at speeds of up to 14 mph (22 km/h) with up to 30 minutes of continuous use
Features adjustable-angle, riser-style handlebars, spoked wheels with 12” (305 mm) pneumatic, knobby tires, retractable kickstand, and hand-operated rear brake
Electric dirt bike with 24V (two 12V) sealed lead-acid rechargeable battery system
Description
Kick start your off-road adventures with the Razor MX350 Dirt Rocket. The scaled-down, electric powered dirt bike is the perfect start for the next generation of motocross riders, combining top-notch performance with true to life motocross design. Designed with rear-wheel drive for better traction and balance control, the high-torque, chain-driven electric motor powers riders up to 14 mph (22 km/h) for up to 30 minutes of continuous use, while the authentic MX-frame geometry, knobby tires and twist grips throttle prepare riders for adventures on dirt. This item is UL 2849 certified.","Dimensions (Overall): 28.0 Inches (H) x 24.0 Inches (W)
Weight: 49.0 Pounds
Holds up to: 140.0 Pounds
Material: Aluminum (Frame)
Features: High-Torque Motor, Pneumatic Tires, Twist Throttle, Hand-Operated Brakes, Adjustable Handlebar Height, Chain-Driven Motor
Suggested Age: 13 Years and Up
Wheel Material: Rubber
Assembly Details: Adult Assembly Required, Tools Provided
Estimated Charge Time: 12 hours
Maximum Speed: 14 miles per hour
Includes: UL Listed Battery Charger, Rechargeable Battery
Industry or Government Certifications: UL2849 Certified
Wheel Diameter: 12 Inches
Wattage Output: 250 Watts
Cruising Range: 7 miles
E-Bike Class: Class 3",$329.99 
